instruction,output
How does Tribunals Ontario ensure accessibility and diversity?,Tribunals Ontario ensures accessibility and diversity by providing equal opportunity to access services and fully participate in the processes of the tribunal. Services are provided in a manner that respects the dignity and independence of all participants.
How can I access the mobile access terminal service for a hearing?,"You can access the mobile access terminal service by submitting an accommodation request if you do not have access to a telephone, computer, and/or the internet to participate in your virtual proceeding."
How can I request for a suitable alternate venue for a proceeding?,You can request for a suitable alternate venue by submitting an approved accommodation request to Tribunals Ontario. They will coordinate the required equipment and provide technical support on the day of the proceeding.
How can a party attend a hearing if they don't have access to a computer or the internet?,They can use the access terminals provided by the tribunal or participate in the hearing by phone through the free phone program. The tribunal can loan free mobile phones or provide airtime minutes for those who do not have access to a telephone or have limited airtime talk minutes.
What accommodations are available for parties who are deaf or hard of hearing?,"The tribunal can provide a sign language interpreter (American Sign Language, langue des signes québécoise), a deaf-blind intervener, real-time captioning (CART), and other assistance as needed."
How can a party access a free mobile phone or airtime minutes for a hearing?,Parties who do not have access to a telephone or have limited airtime talk minutes can request the tribunal to loan them a free mobile phone or provide airtime minutes.
How can I request a different hearing format?,"You can request a different hearing format by following the guidelines outlined in the Tribunals Ontario Practice Direction on Hearing Formats. It's important to make the request to the tribunal before the hearing, and each request will be evaluated on a case-by-case basis."
How can I stay updated on changes to rules and processes at the Landlord and Tenant Board?,"You can stay updated by attending stakeholder meetings and speaking engagements organized by the Landlord and Tenant Board. Additionally, you can participate in demonstrations of features and education sessions related to the Tribunals Ontario Portal."
"What is the purpose of the Adjudicative Tribunals Accountability, Governance and Appointments Act, 2009?","The purpose of the Act is to ensure that adjudicative tribunals, including the Landlord and Tenant Board, are accountable, transparent, and efficient in their operations while remaining independent in their decision-making."
How often does the Landlord and Tenant Board meet with stakeholders?,The Landlord and Tenant Board held over 40 stakeholder meetings and speaking engagements in 2021/22.
How can I provide feedback on operational processes to the Licence Appeal Tribunal - Automobile Accident Benefits Service?,You can provide feedback by reaching out to the Tribunal directly through their contact information provided on their official website.
What are the new KPIs for Tribunals Ontario?,"The new KPIs for Tribunals Ontario include measures to monitor key organizational priorities and objectives, such as ensuring efficient, effective, and fair dispute resolution, user-friendly processes, and accessibility for all users."
How are KPIs developed for Tribunals Ontario?,"The development of KPIs is an iterative process, with engagement of stakeholders to seek feedback and ensure relevance for continuous improvement."
How can I request a change in hearing format?,You can request a change in hearing format by visiting the Request an Accommodation webpage to learn more about how the tribunal can help you participate in your hearing. The tribunal will balance various factors to decide what is an appropriate and fair hearing format for your case.
How can I request an in-person hearing with the Landlord Tenant Board?,"You will need to establish that an in-person hearing is required to accommodate a Human Rights Code-related need, such as a disability, or that an electronic hearing will likely cause you significant prejudice and result in an unfair hearing. You may request an in-person hearing, but the hearing format or solution provided by the tribunal may not be an in-person hearing. The tribunal may also contact any other party in the matter to ask for its views about your request before making a decision."
How can a tenant make a payment into the Landlord and Tenant Board?,"A tenant can make a payment into the Landlord and Tenant Board if directed or ordered by an LTB adjudicator. This can happen if the tenant is making the payment to stop their eviction based on their landlord’s application to evict them for non-payment of rent, or if the tenant filed a maintenance application and asked if they could pay their rent into the LTB, and the LTB permitted this."
How can I obtain a deposit slip from the LTB?,"To obtain a deposit slip from the LTB, you must first contact the LTB and request the slip. The slip will have the LTB’s Trust Account number on it, and you will need to add your application number to it."
What legal materials can be reproduced for commercial purposes?,"The materials may only be reproduced for commercial purposes under a licence from the King's Printer, with the exception of Government of Ontario legal materials (statutes, regulations and judicial decisions) and materials covered under the Open Government Licence – Ontario."
What types of legal matters are covered under the Open Government Licence – Ontario?,"matters, such as divorce, separation and child custody; criminal matters in all levels of court; civil litigation matters in all levels of court; wills, power of attorney and estate matters; real estate matters, including buying and selling personal or commercial property; administrative law matters, including appearances before tribunals."
How to file a claim with the Landlord and Tenant Board?,You can file a claim with the Landlord and Tenant Board by completing the appropriate forms and submitting them to the board. The forms can be found on the board's website or obtained in person at their office.
What types of transactions can businesses and not-for-profit corporations complete through the online registry?,"Businesses and not-for-profit corporations can complete a wide range of transactions through the online registry, including registering a new business and dissolving an existing one."
What types of cases does the Landlord and Tenant Board handle?,"The Landlord and Tenant Board handles cases related to residential tenancies, including disputes between landlords and tenants, eviction applications, and rent increases."
What are the powers and duties of the Fire Marshal?,"The powers and duties of the Fire Marshal are laid out in Part III of the Fire Protection and Prevention Act, 1997."
What are the new processes for appeals under the Board's new Rules of Practice and Procedure?,The new processes for appeals are outlined in the Board's new Rules of Practice and Procedure. It is recommended to refer to the specific details provided in the Rules for accurate information.
How to file a case with the Landlord and Tenant Board?,You can file a case with the Landlord and Tenant Board by submitting the necessary forms and documentation through their online portal or by mail.
How can I access French language services as a landlord at Tribunals Ontario?,"As a landlord, you can access French language services at Tribunals Ontario by requesting forms and publications in French, submitting applications or appeals in French, or requesting to participate in proceedings in French. Additionally, if a bilingual member or mediator is not available, a French-English interpreter will be used for hearings or mediations."
How to request a hearing in French with a bilingual member?,"You can file your appeal in French, and a bilingual member will be assigned to your hearing. If you initially filed in English but would prefer to continue in French, inform the SBT as soon as possible."
How can I access French language services as a landlord at Tribunals Ontario?,"As a landlord, you can access French language services by requesting them when interacting with Tribunals Ontario. The organization has a French Language Service Policy in place, and they have been working to strengthen their capacity to deliver French language services, including supporting bilingual staff and adjudicators with ongoing training opportunities."
How can I request for smudging or other Indigenous cultural ceremonies during in-person proceedings with Tribunals Ontario?,"If you identify as a First Nation, Inuit, or Métis person and are a party, representative, witness, or other tribunal participant, you can make this request for an already scheduled in-person proceeding, or through a hybrid of virtual and in-person formats to accommodate Indigenous cultural and ceremonial needs."
How to request smudging or other Indigenous cultural ceremonies for a rental property?,"You can make a request in advance of the event to tribunals’ and facility management partners, who will make the necessary arrangements to support your needs."
How can I request for smudging or other Indigenous cultural ceremonies during in-person proceedings with Tribunals Ontario?,"If you identify as a First Nation, Inuit, or Métis person and are a party, representative, witness, or other tribunal participant, you can make this request for an already scheduled in-person proceeding, or through a hybrid of virtual and in-person formats to accommodate Indigenous cultural and ceremonial needs."
How to join a tribunal proceeding by phone?,You can join a tribunal proceeding by phone by dialing the phone number provided in the notice from the tribunal. Make sure to follow any other instructions provided in the notice to join the proceeding by phone.
How to appeal a cannabis-related decision with the Landlord Tenant Board?,"You can find the Cannabis-related appeals Information Sheet (PDF | HTML) on the Tribunals Ontario website, which provides information on the appeal process and requirements."
How to join a videoconference proceeding with the tribunal?,Contact the tribunal immediately and try to join by phone if unable to rejoin by videoconference. The notice from the tribunal will have the phone number to dial-in and any other information needed to join the proceeding by phone.
What to do if I can't connect to my proceeding?,Contact the tribunal immediately and try to join by phone if you cannot rejoin by videoconference. The notice from your tribunal will have the phone number to dial-in and any other information you need to join the proceeding by phone.
How can I request accommodation for a disability-related need at the Landlord Tenant Board?,"You can request accommodation by selecting “I require an accommodation on a procedural fairness need” on the Accommodation Request Form. The tribunal will provide accommodation to ensure equal access to the tribunal process, to the point of undue hardship. For example, if you have a visual impairment, the tribunal can provide its forms and documents in an accessible format (e.g., large print, Braille, etc.)."
How to submit a request for accommodation?,"You can submit the Accommodation Request Form as soon as possible, providing as much information as you can so that the tribunal has all the details about your request. The form has contact information on where you can submit it."
How long does it take to receive a response from the tribunal?,"In most cases, you will receive a response within two-to-five weeks. However, it may take longer if hearings are being scheduled further into the future."
How can I request a change in my hearing format?,You can request a change in your hearing format by visiting the Request an Accommodation webpage to learn more about how the tribunal can help you participate in your hearing. The tribunal may be able to accommodate you in a way that does not require a change in your hearing format.
What factors does the tribunal consider when deciding on a fair hearing format?,The tribunal will balance various factors to decide what is an appropriate and fair hearing format for your case. Some of these factors are outlined in the Practice Direction on Hearing Formats.
How can the tribunal help me participate in my hearing without changing the format?,"The tribunal may be able to accommodate you in a way that does not require a change in your hearing format. For example, the tribunal may help you access technology at an access terminal, where you can use a computer or telephone to attend your hearing."
How to request an accommodation from the Social Benefits Tribunal?,You can request an accommodation by submitting the Accommodation Request Form as soon as possible. Provide as much information as you can to explain why you are making the request. The tribunal will consider your request and may ask for more information to clarify it.
How long does it take to receive a response from the Social Benefits Tribunal?,"In most cases, you will receive a response within two-to-five weeks. However, it may take longer if hearings are being scheduled further into the future."
How long will it take to receive a response for a request for accommodation?,"In most cases, you will receive a response within two-to-five weeks. It may take a little longer where hearings are being scheduled further into the future."
How can I access records that are not related to a specific proceeding or case file?,"You can make a request for access under the Freedom of Information and Protection of Privacy Act (FIPPA). FIPPA sets out procedures for making requests, establishes timelines for responses, and outlines limited exemptions to the right of access."
How to request access to records from Tribunals Ontario?,"You must make a request in writing by completing the Tribunals Ontario Request for Records form or sending a letter. Your letter should clearly state that you are requesting records, include your contact information, and provide a detailed description of the information you are requesting. If you provide an email address, the records may be sent to you electronically."
How to file a complaint about a landlord or tenant?,Contact the Landlord and Tenant Board at 1-888-332-3234 or visit TribunalsOntario.ca/ltb.
How to file a complaint about services received from Tribunals Ontario,"You can file a complaint by explaining the reasons for your complaint, including who, what, when, and where it occurred. Provide details about the steps you think should be taken to resolve your complaint and the outcome you are seeking. If your complaint is about a particular file, be sure to provide the file number."
